iter,emax,log_compression,n_live
60,-0.007870168624765004,-0.008333333333333333,120
61,-0.00793860643977777,-0.008333333333333333,120
62,-0.008431511468429798,-0.008333333333333333,120
63,-0.009009732743752066,-0.008333333333333333,120
64,-0.009480443494407405,-0.008333333333333333,120
65,-0.009945075524903743,-0.008333333333333333,120
66,-0.010080642658119364,-0.008333333333333333,120
67,-0.010314282259755753,-0.008333333333333333,120
68,-0.01051152149618528,-0.008333333333333333,120
69,-0.011696504978757549,-0.008333333333333333,120
70,-0.012130899428512506,-0.008333333333333333,120
71,-0.012739849309696724,-0.008333333333333333,120
72,-0.012747065363927206,-0.008333333333333333,120
73,-0.01340624378882667,-0.008333333333333333,120
74,-0.013782917997518788,-0.008333333333333333,120
75,-0.014193535800678288,-0.008333333333333333,120
76,-0.014558647076859742,-0.008333333333333333,120
77,-0.014881159278528792,-0.008333333333333333,120
78,-0.014930168409865746,-0.008333333333333333,120
79,-0.015170261528084948,-0.008333333333333333,120
80,-0.015955753202690753,-0.008333333333333333,120
81,-0.0160704058482359,-0.008333333333333333,120
82,-0.016115374277814305,-0.008333333333333333,120
83,-0.016437216801260777,-0.008333333333333333,120
84,-0.016446340636925856,-0.008333333333333333,120
85,-0.017500202895066985,-0.008333333333333333,120
86,-0.018001629057876167,-0.008333333333333333,120
87,-0.018099808423687448,-0.008333333333333333,120
88,-0.018221007181829292,-0.008333333333333333,120
89,-0.018718022207857038,-0.008333333333333333,120
90,-0.018780633097524334,-0.008333333333333333,120
91,-0.01885108334632284,-0.008333333333333333,120
92,-0.0188736119235441,-0.008333333333333333,120
93,-0.01907813897947717,-0.008333333333333333,120
94,-0.019302134555135807,-0.008333333333333333,120
95,-0.019654523588299885,-0.008333333333333333,120
96,-0.019739474530543314,-0.008333333333333333,120
97,-0.020044184068074164,-0.008333333333333333,120
98,-0.02015677362328534,-0.008333333333333333,120
99,-0.02047527569017854,-0.008333333333333333,120
100,-0.02122033854729775,-0.008333333333333333,120
101,-0.02139660091670772,-0.008333333333333333,120
102,-0.02203496421843767,-0.008333333333333333,120
103,-0.02283281537741951,-0.008333333333333333,120
104,-0.0236007620799031,-0.008333333333333333,120
105,-0.02392456716812099,-0.008333333333333333,120
106,-0.024031716097461152,-0.008333333333333333,120
107,-0.02411870308927103,-0.008333333333333333,120
108,-0.026013868734242745,-0.008333333333333333,120
109,-0.02617678761022334,-0.008333333333333333,120
110,-0.026342487963404628,-0.008333333333333333,120
111,-0.027188087771530124,-0.008333333333333333,120
112,-0.027292292930727855,-0.008333333333333333,120
113,-0.027342498074748665,-0.008333333333333333,120
114,-0.02742591037616143,-0.008333333333333333,120
