iter,emax,log_compression
1,1.318228178568e6,-0.008298802814695066
2,9523.329990357066,-0.008298802814695066
3,1563.0977788285527,-0.008298802814695066
4,1227.8066447830877,-0.008298802814695066
5,338.5129693097069,-0.008298802814695066
6,60.558781427411155,-0.008298802814695066
7,59.3681114867939,-0.008298802814695066
8,44.42644528175126,-0.008298802814695066
9,27.123847611515174,-0.008298802814695066
10,19.080019293562298,-0.008298802814695066
11,12.744765514998388,-0.008298802814695066
12,12.61717230973111,-0.008298802814695066
13,9.19048134707832,-0.008298802814695066
14,5.473552996785372,-0.008298802814695066
15,3.1662741230417777,-0.008298802814695066
16,2.679762802155246,-0.008298802814695066
17,2.365261379744084,-0.008298802814695066
18,1.8755889668223493,-0.008298802814695066
19,1.7177500744861027,-0.008298802814695066
20,1.6999911121431948,-0.008298802814695066
21,1.0928563850817383,-0.008298802814695066
22,1.0185642350636326,-0.008298802814695066
23,0.6132760934284494,-0.008298802814695066
24,0.5534070862428718,-0.008298802814695066
25,0.4220078811526756,-0.008298802814695066
26,0.29523001708389746,-0.008298802814695066
27,0.007474636817148126,-0.008298802814695066
28,-0.001427091196892561,-0.008298802814695066
29,-0.0017483987653543222,-0.008298802814695066
30,-0.0029021073358125207,-0.008298802814695066
31,-0.0029380746654094846,-0.008298802814695066
32,-0.0032666280894708714,-0.008298802814695066
33,-0.003327571289594449,-0.008298802814695066
34,-0.0036312222354096856,-0.008298802814695066
35,-0.003830832966929914,-0.008298802814695066
36,-0.003922414823875515,-0.008298802814695066
37,-0.004153116008431429,-0.008298802814695066
38,-0.004697756917131005,-0.008298802814695066
39,-0.004734535819964061,-0.008298802814695066
40,-0.004740649194091713,-0.008298802814695066
41,-0.004891383855369616,-0.008298802814695066
42,-0.00491883202076407,-0.008298802814695066
43,-0.00492332541571769,-0.008298802814695066
44,-0.00495061111791777,-0.008298802814695066
45,-0.005156492306503832,-0.008298802814695066
46,-0.005376254095204988,-0.008298802814695066
47,-0.005600725869586362,-0.008298802814695066
48,-0.005675218796307859,-0.008298802814695066
49,-0.0058262509033605745,-0.008298802814695066
50,-0.005905666651132266,-0.008298802814695066
51,-0.006222780374940182,-0.008298802814695066
52,-0.006383247109918957,-0.008298802814695066
53,-0.006739343464468662,-0.008298802814695066
54,-0.006773531615403811,-0.008298802814695066
55,-0.006881526597569662,-0.008298802814695066
56,-0.0075774183261494,-0.008298802814695066
57,-0.00778838664137794,-0.008298802814695066
58,-0.008436836033850353,-0.008298802814695066
59,-0.009047663080856482,-0.008298802814695066
60,-0.009078083350417425,-0.008298802814695066
61,-0.009123136288548502,-0.008298802814695066
62,-0.00926933802550159,-0.008298802814695066
63,-0.009455285738012915,-0.008298802814695066
64,-0.009464646111694855,-0.008298802814695066
65,-0.00976308730219925,-0.008298802814695066
66,-0.010399517258896871,-0.008298802814695066
67,-0.010406541725683956,-0.008298802814695066
68,-0.010679916800000756,-0.008298802814695066
69,-0.010706283876765666,-0.008298802814695066
70,-0.010895555903987612,-0.008298802814695066
71,-0.01180779377744622,-0.008298802814695066
72,-0.012063077866523981,-0.008298802814695066
73,-0.012258147823661282,-0.008298802814695066
74,-0.012389089652964206,-0.008298802814695066
75,-0.012412152411814373,-0.008298802814695066
76,-0.012491681252535497,-0.008298802814695066
77,-0.013163093528751516,-0.008298802814695066
78,-0.01374474236603523,-0.008298802814695066
79,-0.013810316529368915,-0.008298802814695066
80,-0.015347210812289916,-0.008298802814695066
81,-0.015425109129950263,-0.008298802814695066
82,-0.015811596395327886,-0.008298802814695066
83,-0.01602542648066275,-0.008298802814695066
84,-0.016665778205082762,-0.008298802814695066
85,-0.016690198466066758,-0.008298802814695066
86,-0.016710830473184377,-0.008298802814695066
87,-0.016803873470850886,-0.008298802814695066
88,-0.01684085873084116,-0.008298802814695066
89,-0.017456022518145976,-0.008298802814695066
90,-0.017620888995332963,-0.008298802814695066
91,-0.018185514984489448,-0.008298802814695066
92,-0.018785728826809355,-0.008298802814695066
93,-0.019102711471267367,-0.008298802814695066
94,-0.019166273027975182,-0.008298802814695066
95,-0.019440824701902754,-0.008298802814695066
96,-0.019716583131070674,-0.008298802814695066
97,-0.020399196089547652,-0.008298802814695066
98,-0.02077135587372482,-0.008298802814695066
99,-0.02095390489611963,-0.008298802814695066
100,-0.02147773191057042,-0.008298802814695066
101,-0.02190890199867543,-0.008298802814695066
102,-0.022191659186751294,-0.008298802814695066
103,-0.022258915432779827,-0.008298802814695066
104,-0.022627744162011448,-0.008298802814695066
105,-0.023202425790584787,-0.008298802814695066
106,-0.023615698033113603,-0.008298802814695066
107,-0.023680777772353674,-0.008298802814695066
108,-0.02382944169032969,-0.008298802814695066
109,-0.024387362261547883,-0.008298802814695066
110,-0.024686459288610487,-0.008298802814695066
111,-0.024878305117741455,-0.008298802814695066
112,-0.025443497749409946,-0.008298802814695066
113,-0.02570545164689353,-0.008298802814695066
114,-0.026146752421249066,-0.008298802814695066
115,-0.02621203170967523,-0.008298802814695066
116,-0.026336537033171174,-0.008298802814695066
