iter,emax,log_compression,n_live
1,6.417750885701416e7,-0.008333333333333333,120
2,354189.04167815583,-0.008333333333333333,120
3,252338.5915842287,-0.008333333333333333,120
4,4777.859285771176,-0.008333333333333333,120
5,2201.868287923965,-0.008333333333333333,120
6,1213.7965746946486,-0.008333333333333333,120
7,65.30858342187221,-0.008333333333333333,120
8,57.54583531260242,-0.008333333333333333,120
9,56.73541955506122,-0.008333333333333333,120
10,41.87115299552573,-0.008333333333333333,120
11,33.23073399162703,-0.008333333333333333,120
12,19.040122500608746,-0.008333333333333333,120
13,18.014156015239873,-0.008333333333333333,120
14,16.48383351674035,-0.008333333333333333,120
15,14.120161774934054,-0.008333333333333333,120
16,8.31638452995358,-0.008333333333333333,120
17,7.084549714078738,-0.008333333333333333,120
18,6.323387515563624,-0.008333333333333333,120
19,2.5280185791959986,-0.008333333333333333,120
20,2.199334769743234,-0.008333333333333333,120
21,1.5307974995834785,-0.008333333333333333,120
22,1.5032936222820148,-0.008333333333333333,120
23,1.4197884586545786,-0.008333333333333333,120
24,1.377736258610192,-0.008333333333333333,120
25,1.0778873011208756,-0.008333333333333333,120
26,0.5810146764541965,-0.008333333333333333,120
27,0.5384442547646858,-0.008333333333333333,120
28,0.535827320714341,-0.008333333333333333,120
29,0.42609435311588106,-0.008333333333333333,120
30,0.3256419468211394,-0.008333333333333333,120
31,0.24119974484216647,-0.008333333333333333,120
32,0.1984546614623884,-0.008333333333333333,120
33,0.15577794887296034,-0.008333333333333333,120
34,0.08127559358409056,-0.008333333333333333,120
35,0.04265758764651681,-0.008333333333333333,120
36,0.014522862265685332,-0.008333333333333333,120
37,-0.00036951865083618475,-0.008333333333333333,120
38,-0.0012403494305512552,-0.008333333333333333,120
39,-0.0016745431522418078,-0.008333333333333333,120
40,-0.001682838961230764,-0.008333333333333333,120
41,-0.0018533256398082522,-0.008333333333333333,120
42,-0.0025333902846331087,-0.008333333333333333,120
43,-0.00279762200776649,-0.008333333333333333,120
44,-0.003211380187993972,-0.008333333333333333,120
45,-0.003250425670519203,-0.008333333333333333,120
46,-0.0033577425147545206,-0.008333333333333333,120
47,-0.0036367925591459316,-0.008333333333333333,120
48,-0.004005381630715977,-0.008333333333333333,120
49,-0.0040469533154034645,-0.008333333333333333,120
50,-0.0042022843602570635,-0.008333333333333333,120
