iter,emax,log_compression,n_live
1,122278.60407544089,-0.008333333333333333,120
2,31579.833063104397,-0.008333333333333333,120
3,17765.57350634985,-0.008333333333333333,120
4,11137.723948915129,-0.008333333333333333,120
5,2932.6811272214327,-0.008333333333333333,120
6,2399.849524460225,-0.008333333333333333,120
7,1925.5512579438778,-0.008333333333333333,120
8,1631.0541023103885,-0.008333333333333333,120
9,771.5156122655943,-0.008333333333333333,120
10,497.09959505739096,-0.008333333333333333,120
11,449.9190288501066,-0.008333333333333333,120
12,217.1877178353144,-0.008333333333333333,120
13,60.3477500068446,-0.008333333333333333,120
14,51.172466570766204,-0.008333333333333333,120
15,32.16213646524977,-0.008333333333333333,120
16,27.767084496044184,-0.008333333333333333,120
17,25.254653481695,-0.008333333333333333,120
18,12.883008243284388,-0.008333333333333333,120
19,12.315514714165724,-0.008333333333333333,120
20,8.259787652459016,-0.008333333333333333,120
21,7.994240399875413,-0.008333333333333333,120
22,7.58589485828986,-0.008333333333333333,120
23,6.6364689413796185,-0.008333333333333333,120
24,6.141020177959442,-0.008333333333333333,120
25,5.733027360381397,-0.008333333333333333,120
26,3.6554872341684046,-0.008333333333333333,120
27,3.5055807319600056,-0.008333333333333333,120
28,2.9332215617960413,-0.008333333333333333,120
29,2.361541627867357,-0.008333333333333333,120
30,2.1934404881481497,-0.008333333333333333,120
31,1.8158857341426458,-0.008333333333333333,120
32,1.4282836825103702,-0.008333333333333333,120
33,1.1441906002217574,-0.008333333333333333,120
34,0.724369854584699,-0.008333333333333333,120
35,0.6580961268356367,-0.008333333333333333,120
36,0.3502252240099766,-0.008333333333333333,120
37,0.280338183197803,-0.008333333333333333,120
38,0.2580457047887852,-0.008333333333333333,120
39,0.20291598895077645,-0.008333333333333333,120
40,0.17991128402718354,-0.008333333333333333,120
41,0.13855350233274422,-0.008333333333333333,120
42,0.11221920260304499,-0.008333333333333333,120
43,0.09891608777879338,-0.008333333333333333,120
44,0.05235130310166787,-0.008333333333333333,120
45,0.02656826416067945,-0.008333333333333333,120
46,0.01493930086008353,-0.008333333333333333,120
47,-0.0004748636492232488,-0.008333333333333333,120
48,-0.0008969704394767225,-0.008333333333333333,120
49,-0.000979027818589579,-0.008333333333333333,120
50,-0.0013286077946037653,-0.008333333333333333,120
51,-0.0015159205786834536,-0.008333333333333333,120
52,-0.0015854750325792726,-0.008333333333333333,120
53,-0.0016085025678590514,-0.008333333333333333,120
54,-0.001896951980469776,-0.008333333333333333,120
55,-0.0025021904147732774,-0.008333333333333333,120
56,-0.002796256720850704,-0.008333333333333333,120
57,-0.0030240483224586927,-0.008333333333333333,120
58,-0.0031824389129910006,-0.008333333333333333,120
59,-0.0032344937114187917,-0.008333333333333333,120
60,-0.0033619836135693444,-0.008333333333333333,120
61,-0.003763549433326733,-0.008333333333333333,120
62,-0.00400124103912582,-0.008333333333333333,120
63,-0.004375310255372711,-0.008333333333333333,120
64,-0.0044416689575361434,-0.008333333333333333,120
65,-0.004581459430352224,-0.008333333333333333,120
66,-0.004671842451675286,-0.008333333333333333,120
67,-0.006164519352666024,-0.008333333333333333,120
68,-0.006485906023674178,-0.008333333333333333,120
69,-0.006804710665492373,-0.008333333333333333,120
70,-0.006935913367109719,-0.008333333333333333,120
71,-0.00694401937940867,-0.008333333333333333,120
72,-0.006968438876557135,-0.008333333333333333,120
73,-0.007404986751835497,-0.008333333333333333,120
74,-0.007851504908125854,-0.008333333333333333,120
