iter,emax
1,707103.0032144507
2,402077.843611227
3,8820.110611838152
4,3911.2460247349713
5,336.35247698801624
6,231.15116356635912
7,165.01592850370665
8,104.15620822199865
9,42.53873510431971
10,15.240625299322552
11,10.685263171238633
12,10.09520562708365
13,9.071441746637683
14,6.8561544794912015
15,6.050572480429432
16,5.828667188151323
17,4.495959110253742
18,3.4907286238586646
19,3.061754294554076
20,1.9554966737721768
21,1.8467858464345008
22,1.4675826992989125
23,1.3339432772307331
24,1.047548183679085
25,0.9676970575675807
26,0.5010511938765655
27,0.21893485335897359
28,0.19976796369773944
29,0.13156489688060036
30,0.126181705854428
31,0.10370336995532807
32,-0.0016011951471529297
33,-0.003065103502603145
34,-0.003114847249658333
35,-0.00360012783784205
36,-0.004368045160708299
37,-0.005549203440977467
38,-0.0061109782962897674
39,-0.006414618210017256
40,-0.006552597081559818
41,-0.0068145850933935695
42,-0.0071939245383607405
43,-0.007518933933826658
44,-0.007604177934432398
45,-0.007696894152976248
46,-0.008265608310563012
47,-0.008480250050291096
48,-0.008587509769327697
49,-0.008620423728395063
50,-0.008712250481749083
51,-0.009043746203251223
52,-0.009116541168772023
53,-0.009378266680292022
54,-0.010831585873286469
55,-0.011095346633382817
56,-0.011247709932972602
57,-0.01145268023723552
58,-0.011880869245984983
59,-0.011950613949706493
60,-0.01201636879773359
61,-0.012159351986252915
62,-0.012219460763907918
63,-0.012330120531672827
64,-0.012415898048058127
65,-0.012483048422180447
66,-0.012629821012808132
67,-0.013109748996589808
68,-0.013129757157704008
69,-0.01348115487522433
70,-0.01390686145658654
71,-0.013916944013765586
72,-0.014418260274762482
73,-0.014626482922982229
74,-0.014954032847533523
75,-0.01661337847871956
76,-0.017198239169822733
77,-0.01728347869890038
78,-0.017404485535064965
79,-0.017485599281538925
80,-0.017762664117052893
81,-0.0180339461883694
82,-0.018527365589722913
83,-0.018709366463926524
84,-0.018829856208931746
85,-0.019259375131073782
86,-0.01974886950536108
87,-0.020374708325183906
88,-0.020929010305874025
89,-0.02124785770283363
90,-0.021437050113990132
91,-0.02199829400475077
92,-0.022824046228124454
93,-0.023244756265558497
94,-0.0232890353241823
95,-0.02443738717505213
96,-0.024512741265501056
97,-0.025305898017638197
98,-0.02577771465149197
99,-0.025894016237775267
100,-0.026354803248081773
101,-0.02698164838011874
102,-0.027365246046223302
103,-0.02741569786443731
104,-0.0274707195660984
105,-0.027532753850494744
106,-0.027741667705062208
107,-0.02779052759322572
108,-0.027853554389116863
109,-0.027961935063355047
110,-0.02811534495615215
111,-0.029125034676044124
112,-0.029128731033379245
113,-0.03033680073016881
114,-0.030933311750577508
115,-0.031030801220837984
116,-0.031229525323838502
117,-0.031872221727169074
118,-0.03200029823081299
119,-0.03225662299749041
120,-0.032457370238424696
121,-0.03325946158418949
122,-0.033337767052304325
123,-0.03434379814477519
124,-0.03457087890016114
125,-0.03584509186116207
126,-0.03703974361483711
127,-0.03724728346242348
128,-0.0384843921537612
129,-0.04078529597608761
130,-0.040876010140080875
131,-0.04095630990028265
132,-0.04109234578924661
133,-0.04161680538654228
134,-0.04191788056435849
135,-0.04272651155964418
136,-0.04345547339541906
