iter,emax
1,2.8444631647696365e7
2,66892.30030492035
3,20939.253575834577
4,13949.489473615122
5,6930.802441263791
6,2236.291676441889
7,1163.8179543807705
8,221.51869374982527
9,215.92562321990638
10,135.6154384731375
11,131.19449903269214
12,67.2506727231322
13,53.258531531519026
14,49.791560349397265
15,25.16563434817393
16,18.02938988756135
17,11.377679826262034
18,7.326677135116015
19,6.0047658124131384
20,5.871634699778982
21,5.602421514652175
22,5.241559825138611
23,4.6460875910194925
24,4.556730980000661
25,2.6289932964456444
26,1.488221613737143
27,1.3905706912072064
28,1.2189783056764076
29,0.8740410492745231
30,0.5365344497732004
31,0.4678251311164005
32,0.32721729428883795
33,0.2136025703056902
34,0.1950961760225393
35,0.1313551869779288
36,0.033422541486119985
37,0.028344161472517802
38,0.026746088164182433
39,-0.00034349566487347364
40,-0.001392195119406693
41,-0.001767206642427481
42,-0.0019178466668608408
43,-0.0020504696283565856
44,-0.0024377016293812884
45,-0.002459406126302071
46,-0.002926427867382803
47,-0.0033242807388396845
48,-0.0038465211196089984
49,-0.0038721078157270645
50,-0.004282504420211192
51,-0.004366666733150559
52,-0.004602892834503469
53,-0.004656296805095139
54,-0.004940374869365367
55,-0.004962388549672653
56,-0.005025437496329111
57,-0.006422537110493673
58,-0.006665656162852695
59,-0.006921428399108421
60,-0.007461106495961147
61,-0.007552653312073723
62,-0.008470137878274843
63,-0.00877391569664978
64,-0.008812504446796168
65,-0.011054443517617096
66,-0.01118189188229433
67,-0.01126561021366042
68,-0.011441621614310109
69,-0.011742073132211912
70,-0.0122175509275057
71,-0.012387937576306695
72,-0.014722132973823411
73,-0.014840788370174487
74,-0.01492273375756461
75,-0.01494316390576679
76,-0.01523230260162737
77,-0.015304398921070272
78,-0.01569391299204694
79,-0.015779047268288684
80,-0.015817081129979253
81,-0.016479486777519828
82,-0.01672071350495852
83,-0.016986573298526226
84,-0.017203660437321196
85,-0.017303641718292614
86,-0.017732963823580913
87,-0.01801847474469326
88,-0.018522330182707023
89,-0.018559399671713037
90,-0.018696905366762884
91,-0.018946595704033762
92,-0.019225018028360172
93,-0.01978932544622845
94,-0.019862887438284883
95,-0.021766704040180815
96,-0.02239115890844328
97,-0.02246873318825783
98,-0.02276032763216613
99,-0.022777098034450913
100,-0.023325979799225835
101,-0.023493729282858696
102,-0.02471753692230154
103,-0.026949149923756802
104,-0.027725247584497747
105,-0.028017951396780604
106,-0.029469205523355208
107,-0.030450900711412206
108,-0.030555737049910783
109,-0.03128176184424952
110,-0.03163100462586464
111,-0.03197808580909328
112,-0.03260960381265381
113,-0.03267054710945262
114,-0.0327490252103716
115,-0.03392066338336939
116,-0.03419766303701568
117,-0.035789591347350144
118,-0.03595739623502192
119,-0.038534948834956735
120,-0.03870921040089709
121,-0.038818829060324765
122,-0.03892816524115823
123,-0.039533394776831265
124,-0.039829931764859675
125,-0.040126318744218493
126,-0.040432268018667804
127,-0.042443060273602416
128,-0.042817482824471655
129,-0.043114836384826875
130,-0.04334139005233045
131,-0.04341559477419874
132,-0.04384970482346621
133,-0.04452365488851819
134,-0.04459934518771315
135,-0.04482893289154809
136,-0.04527868937441314
137,-0.045325467837027324
138,-0.045502510353870915
139,-0.04588524894116289
140,-0.04719929821601803
141,-0.04755303614980663
142,-0.04766991426739101
143,-0.048186202393459665
144,-0.04960109362865241
145,-0.04984096964731541
146,-0.04987938868862878
147,-0.049927756588750996
148,-0.05013013144601527
149,-0.05210000530554741
150,-0.05252338146242156
151,-0.05255416852743036
152,-0.0526877850704104
153,-0.052989225548132644
154,-0.05376470309716863
155,-0.05458048979961666
156,-0.054824607715767235
157,-0.056139578232559564
158,-0.056520880214113604
159,-0.057356140339051176
160,-0.05781675016265854
161,-0.05805035424448563
162,-0.05917612213256356
163,-0.05980567281320544
164,-0.05991565175894182
165,-0.06033734479528184
166,-0.06199164214129319
167,-0.06260290428788119
168,-0.0626436778953664
169,-0.06365404192502788
170,-0.06383245424041958
171,-0.06419712953650654
172,-0.06447846188462712
173,-0.06571078905955502
174,-0.06643698308272851
